date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:12:28	90412/90412	---M--	200	added ('OK')	font/woff	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/font-awesome/fonts/fontawesome-webfont.woff?v=4.6.3	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/font-awesome/fonts/fontawesome-webfont5b62.woff	(from http://ngetemplates.com/dark/dark/font-awesome/css/font-awesome.min.css)
22:12:28	2628/2628	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/js/contact-form.js	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/js/contact-form.js	(from http://ngetemplates.com/dark/dark/contact.html)
22:12:29	6951/6951	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/css/magnific-popup.css	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/css/magnific-popup.css	(from http://ngetemplates.com/dark/dark/home-portfolio.html)
22:12:30	18627/18627	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/image-profil.jpg	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/image-profil.jpg	(from http://ngetemplates.com/dark/dark/css/style.css)
22:12:31	9487/9487	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/portfolio1.jpg	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/portfolio1.jpg	(from http://ngetemplates.com/dark/dark/home-portfolio.html)
22:12:33	15062/15062	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/portfolio3.jpg	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/portfolio3.jpg	(from http://ngetemplates.com/dark/dark/home-portfolio.html)
22:12:34	27830/27830	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/portfolio2.jpg	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/portfolio2.jpg	(from http://ngetemplates.com/dark/dark/home-portfolio.html)
22:12:37	22274/22274	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/portfolio4.jpg	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/portfolio4.jpg	(from http://ngetemplates.com/dark/dark/home-portfolio.html)
22:12:39	19934/19934	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/portfolio5.jpg	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/portfolio5.jpg	(from http://ngetemplates.com/dark/dark/home-portfolio.html)
22:12:39	73375/73375	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/sc.png	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/sc.png	(from http://ngetemplates.com/dark/dark/css/style.css)
22:12:40	14386/14386	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/portfolio6.jpg	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/portfolio6.jpg	(from http://ngetemplates.com/dark/dark/home-portfolio.html)
22:12:41	152796/152796	---M--	200	added ('OK')	font/ttf	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/font-awesome/fonts/fontawesome-webfont.ttf?v=4.6.3	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/font-awesome/fonts/fontawesome-webfont5b62.ttf	(from http://ngetemplates.com/dark/dark/font-awesome/css/font-awesome.min.css)
22:12:42	15015/15015	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/portfolio8.jpg	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/portfolio8.jpg	(from http://ngetemplates.com/dark/dark/home-portfolio.html)
22:12:43	40991/40991	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/js/jquery.filterizr.js	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/js/jquery.filterizr.js	(from http://ngetemplates.com/dark/dark/home-portfolio.html)
22:12:43	20216/20216	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/js/jquery.magnific-popup.min.js	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/js/jquery.magnific-popup.min.js	(from http://ngetemplates.com/dark/dark/home-portfolio.html)
22:12:43	21736/21736	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/portfolio7.jpg	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/portfolio7.jpg	(from http://ngetemplates.com/dark/dark/home-portfolio.html)
22:12:43	431/431	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/js/portfolio.js	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/js/portfolio.js	(from http://ngetemplates.com/dark/dark/home-portfolio.html)
22:12:56	81681/81681	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/shop2.png	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/shop2.png	(from http://ngetemplates.com/dark/dark/home-shop.html)
22:12:59	119957/119957	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/shop1.png	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/shop1.png	(from http://ngetemplates.com/dark/dark/home-shop.html)
22:13:00	102406/102406	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/shop4.png	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/shop4.png	(from http://ngetemplates.com/dark/dark/home-shop.html)
22:13:07	150420/150420	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/shop3.png	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/shop3.png	(from http://ngetemplates.com/dark/dark/home-shop.html)
22:13:09	4413/4413	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/user-comment.jpg	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/user-comment.jpg	(from http://ngetemplates.com/dark/dark/shop-single.html)
22:13:10	4656/4656	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/testimonial1.jpg	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/testimonial1.jpg	(from http://ngetemplates.com/dark/dark/testimonial.html)
22:13:11	4413/4413	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/testimonial2.jpg	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/testimonial2.jpg	(from http://ngetemplates.com/dark/dark/testimonial.html)
22:13:12	102406/102406	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/shop5.png	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/shop5.png	(from http://ngetemplates.com/dark/dark/home-shop.html)
22:13:12	6394/6394	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/testimonial3.jpg	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/testimonial3.jpg	(from http://ngetemplates.com/dark/dark/testimonial.html)
22:13:19	127203/127203	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/shop-single.png	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/shop-single.png	(from http://ngetemplates.com/dark/dark/shop-single.html)
22:13:20	150420/150420	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/shop6.png	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/shop6.png	(from http://ngetemplates.com/dark/dark/home-shop.html)
22:13:22	124622/124622	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/about.jpg	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/about.jpg	(from http://ngetemplates.com/dark/dark/about-us.html)
